Council of Europe,Schengen Area,European Union,Eurozone,EEA,BSEC,Benelux
Netherlands,Austria,Austria,Austria,Austria,Azerbaijan,Belgium
Belgium,Belgium,Belgium,Belgium,Belgium,Albania,Luxembourg
Luxembourg,Croatia,Bulgaria,Croatia,Bulgaria,Bulgaria,Netherlands
Denmark,Czech Republic,Croatia,Estonia,Croatia,Armenia,
France,Denmark,Czech Republic,Finland,Czech Republic,Georgia,
Norway,Estonia,Denmark,France,Denmark,North Macedonia,
Sweden,Finland,Estonia,Germany,Estonia,Greece,
United Kingdom,France,Finland,Greece,Finland,Moldova,
Ireland,Germany,France,Ireland,France,Ukraine,
Italy,Greece,Germany,Cyprus,Germany,Romania,
Greece,Hungary,Greece,Italy,Greece,Russia,
Iceland,Iceland,Hungary,Latvia,Hungary,Serbia,
Turkey,Italy,Ireland,Lithuania,Ireland,Turkey,
Germany,Latvia,Cyprus,Luxembourg,Cyprus,,
Austria,Liechtenstein,Italy,Malta,Italy,,
Cyprus,Lithuania,Latvia,Netherlands,Latvia,,
Switzerland,Luxembourg,Lithuania,Portugal,Lithuania,,
Malta,Malta,Luxembourg,Slovakia,Luxembourg,,
Portugal,Netherlands,Malta,Slovenia,Malta,,
Spain,Norway,Netherlands,Spain,Netherlands,,
Liechtenstein,Poland,Poland,,Poland,,
San Marino,Portugal,Portugal,,Portugal,,
Finland,Slovakia,Romania,,Romania,,
Hungary,Slovenia,Slovakia,,Slovakia,,
Poland,Spain,Slovenia,,Slovenia,,
Bulgaria,Sweden,Spain,,Spain,,
Estonia,Switzerland,Sweden,,Sweden,,
Lithuania,,,,Iceland,,
Slovenia,,,,Liechtenstein,,
Czech Republic,,,,Norway,,
Slovakia,,,,,,
Romania,,,,,,
Andorra,,,,,,
Latvia,,,,,,
Moldova,,,,,,
Albania,,,,,,
Ukraine,,,,,,
North Macedonia,,,,,,
Croatia,,,,,,
Georgia,,,,,,
Armenia,,,,,,
Azerbaijan,,,,,,
Bosnia and Herzegovina,,,,,,
Serbia,,,,,,
Monaco,,,,,,
Montenegro,,,,,,