Council of Europe,Schengen Area,European Union,Eurozone,EEA,BSEC,Benelux,Baltic Assembly,Nordic Council,Visergrad Group,GUAM,Common Travel Area,CEFTA,Union State,EFTA,EU Customs Union,Monetary Agreement with the EU
Netherlands,Austria,Austria,Austria,Austria,Azerbaijan,Belgium,Estonia,Denmark,Hungary,Azerbaijan,United Kingdom,Moldova,Russia,Liechtenstein,Austria,San Marino
Belgium,Belgium,Belgium,Belgium,Belgium,Albania,Luxembourg,Latvia,Finland,Poland,Georgia,Ireland,Albania,Belarus,Norway,Belgium,Monaco
Luxembourg,Croatia,Bulgaria,Croatia,Bulgaria,Bulgaria,Netherlands,Lithuania,Iceland,Czech Republic,Ukraine,,North Macedonia,,Iceland,Bulgaria,Andorra
Denmark,Czech Republic,Croatia,Estonia,Croatia,Armenia,,,Norway,Slovakia,Moldova,,Bosnia and Herzegovina,,Switzerland,Croatia,Vatican
France,Denmark,Czech Republic,Finland,Czech Republic,Georgia,,,Sweden,,,,Serbia,,,Czech Republic,
Norway,Estonia,Denmark,France,Denmark,North Macedonia,,,,,,,Montenegro,,,Denmark,
Sweden,Finland,Estonia,Germany,Estonia,Greece,,,,,,,Kosovo,,,Estonia,
United Kingdom,France,Finland,Greece,Finland,Moldova,,,,,,,,,,Finland,
Ireland,Germany,France,Ireland,France,Ukraine,,,,,,,,,,France,
Italy,Greece,Germany,Cyprus,Germany,Romania,,,,,,,,,,Germany,
Greece,Hungary,Greece,Italy,Greece,Russia,,,,,,,,,,Greece,
Iceland,Iceland,Hungary,Latvia,Hungary,Serbia,,,,,,,,,,Hungary,
Turkey,Italy,Ireland,Lithuania,Ireland,Turkey,,,,,,,,,,Ireland,
Germany,Latvia,Cyprus,Luxembourg,Cyprus,,,,,,,,,,,Cyprus,
Austria,Liechtenstein,Italy,Malta,Italy,,,,,,,,,,,Italy,
Cyprus,Lithuania,Latvia,Netherlands,Latvia,,,,,,,,,,,Latvia,
Switzerland,Luxembourg,Lithuania,Portugal,Lithuania,,,,,,,,,,,Lithuania,
Malta,Malta,Luxembourg,Slovakia,Luxembourg,,,,,,,,,,,Luxembourg,
Portugal,Netherlands,Malta,Slovenia,Malta,,,,,,,,,,,Malta,
Spain,Norway,Netherlands,Spain,Netherlands,,,,,,,,,,,Netherlands,
Liechtenstein,Poland,Poland,,Poland,,,,,,,,,,,Poland,
San Marino,Portugal,Portugal,,Portugal,,,,,,,,,,,Portugal,
Finland,Slovakia,Romania,,Romania,,,,,,,,,,,Romania,
Hungary,Slovenia,Slovakia,,Slovakia,,,,,,,,,,,Slovakia,
Poland,Spain,Slovenia,,Slovenia,,,,,,,,,,,Slovenia,
Bulgaria,Sweden,Spain,,Spain,,,,,,,,,,,Spain,
Estonia,Switzerland,Sweden,,Sweden,,,,,,,,,,,Sweden,
Lithuania,,,,Iceland,,,,,,,,,,,Turkey,
Slovenia,,,,Liechtenstein,,,,,,,,,,,San Marino,
Czech Republic,,,,Norway,,,,,,,,,,,Monaco,
Slovakia,,,,,,,,,,,,,,,Andorra,
Romania,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,